,Title,Author,Release date,Price $
0,Korra Is Live,Chukwufumnaya Anita Obidi,05-08-23,7
1,Tremendous,"Joey ""Coco"" Diaz",05-02-23,21
2,Making a House and Create a Home,Benjamin Gilbert David,05-03-23,7
3,Ordinary Notes,Christina Sharpe,04-25-23,19
4,The Greatest Song,Kevin Griffin,04-25-23,20
5,Born a Crime,Trevor Noah,11-15-16,22
6,Becoming Free Indeed,Jinger Duggar Vuolo,01-31-23,25
7,Don't Tell Anybody the Secrets I Told You,Lucinda Williams,04-25-23,28
8,"Creativity, Inc.",Ed Catmull,04-08-14,16
9,A Life in Parts,Bryan Cranston,10-11-16,14
10,Bossypants,Tina Fey,04-05-11,18
11,Deliver Me from Nowhere,Warren Zanes,05-02-23,28
12,The Creative Act,Rick Rubin,01-17-23,32
13,How to Make It in the New Music Business (3rd Edition),Ari Herstand,03-21-23,24
14,Stories I Only Tell My Friends,Rob Lowe,04-26-11,15
15,Wildflower,Drew Barrymore,10-27-15,15
16,Artpreneur,Miriam Schulman,01-31-23,29
17,Killin' Generals,Dwayne Epstein,04-25-23,17
18,Does the Noise in My Head Bother You?,Steven Tyler,05-03-11,30
19,Tinseltown,William J. Mann,10-14-14,21
20,My Song,Harry Belafonte,10-11-11,23
21,Red,Sammy Hagar,03-15-11,25
22,Live from New York,James Andrew Miller,06-27-17,33
23,Meet Me in the Bathroom,Lizzy Goodman,05-23-17,33
24,Paddle Your Own Canoe,Nick Offerman,10-01-13,13
25,Rocks,Joe Perry,10-07-14,28
26,Part of My World,Jodi Benson,09-20-22,15
27,Black Privilege,Charlamagne Tha God,04-18-17,15
28,"Easy Riders, Raging Bulls",Peter Biskind,11-01-08,30
29,Jerry on Jerry,Dennis McNally - editor,11-24-15,20
30,Not Dead Yet,Phil Collins,10-25-16,32
31,Story,Robert McKee,01-12-06,19
32,Weird Scenes Inside the Canyon,David McGowan,08-23-17,22
33,Arbitrary Lines,M. Nolan Gray,12-06-22,18
34,Heavier than Heaven,Charles R. Cross,09-19-06,25
35,Professional Idiot,"Stephen ""Steve-O"" Glover",06-07-11,29
36,Your Brain on Art,Susan Magsamen,03-21-23,28
37,The Steal Like an Artist Audio Trilogy,Austin Kleon,07-15-22,14
38,Runnin' with the Devil,Noel Monk,06-13-17,15
39,Hit Makers,Derek Thompson,02-07-17,28
40,Every Little Step,Bobby Brown,06-13-16,23
41,They Can't Kill Us Until They Kill Us,Hanif Abdurraqib,11-15-22,12
42,A Movie Making Nerd,James Rolfe,12-14-22,17
43,The Disaster Artist,Greg Sestero,05-19-14,24
44,The Hare with Amber Eyes,Edmund de Waal,06-14-11,26
45,Oscar Wars,Michael Schulman,02-21-23,32
46,Frida,Hayden Herrera,03-21-23,32
47,The Kingdom of Prep,Maggie Bullock,03-07-23,32
48,Cinema Speculation,Quentin Tarantino,11-01-22,32
49,The Gospel According to Luke,Steve Lukather,09-18-18,22
50,Bare Bones,Bobby Bones,05-17-16,19
51,Someday Is Today,Matthew Dicks,06-14-22,28
52,NOFX,NOFX,08-30-16,30
53,The Big Bang Theory,Jessica Radloff,10-11-22,44
54,Everything Reminds Me of Something,Adam Carolla,08-02-22,24
55,The Most Beautiful,Mayte Garcia,04-04-17,30
56,This Is What It Sounds Like,Ogi Ogas,09-20-22,21
57,Leon Russell,Bill Janovitz,03-14-23,51
58,Last Train to Memphis,Peter Guralnick,11-01-12,15
59,Do You Talk Funny?,David Nihill,11-24-15,13
60,The Autobiography of Gucci Mane,Gucci Mane,09-19-17,17
61,The Book of Jose,Fat Joe,11-15-22,18
62,I Want My MTV,Craig Marks,09-25-12,35
63,Long Road,Steven Hyden,09-27-22,21
64,Martin Scorsese,Mary Pat Kelly,10-25-22,21
65,My Lucky Life In and Out of Show Business,Dick Van Dyke,05-03-11,24
66,So That Happened,Jon Cryer,04-07-15,28
67,Naturally Tan,Tan France,06-04-19,15
68,High School,Tegan Quin,09-24-19,21
69,Our Band Could Be Your Life,Michael Azerrad,05-21-19,28
70,Permanently Suspended: The Rise and Fall... and Rise Again of Radio's Most Notorious Shock Jock,Anthony Cumia,12-04-18,17
71,Punk Paradox,Greg Graffin,11-08-22,36
72,The Death and Life of Great American Cities,Jane Jacobs,09-13-11,39
73,Comfortably Numb,Mark Blake,11-17-17,21
74,My Jesus,Anne Wilson,10-25-22,17
75,The Story of Art Without Men,Katy Hessel,05-02-23,21
76,Catching the Big Fish,David Lynch,12-07-06,17
77,You're Making Me Hate You,Corey Taylor,08-31-15,23
78,The Grand Affair,Paul Fisher,03-14-23,21
79,It's a Long Story,Willie Nelson,05-05-15,22
80,The Long Hard Road Out of Hell,Marilyn Manson,11-07-17,32
81,Find Your Artistic Voice,Lisa Congdon,08-06-19,26
82,The Dark Story of Eminem,Nick Hasted,12-03-14,16
83,At Home,Bill Bryson,10-05-10,24
84,Powerhouse,James Andrew Miller,08-09-16,26
85,Voice-Over Voice Actor: The Extended Edition,Yuri Lowenthal,06-15-18,17
86,Face the Music,Paul Stanley,04-08-14,26
