,Title,Author,Release date,Price $
0,Elon Musk,Walter Isaacson,09-12-23,33
1,Light Bringer,Pierce Brown,07-25-23,31
2,The Gift,Sebastian Fitzek,05-18-23,30
3,The Lion: Son of the Forest,Mike Brooks,04-22-23,33
4,Clue Krewe,Jana DeLeon,06-13-23,20
5,The Silmarillion,J. R. R. Tolkien,06-22-23,22
6,Technology Specs Book,Ricardo Navarrete Mendez,05-18-23,7
7,Technology Book Trend,Lumumba Shabazz,05-18-23,7
8,Shattersoul,Kyle Kirrin,06-02-23,30
9,Azarinth Healer: Book Two,Rhaegar,04-28-23,25
10,Runaway Love,Melanie Harlow,05-01-23,20
11,Cherry Picked,May Archer,05-16-23,20
12,Ward D,Freida McFadden,05-09-23,49
13,The Primal Hunter 5,Zogarth,05-17-23,25
14,10x Is Easier than 2x,Dan Sullivan,05-09-23,21
15,Blightslayer,Richard Strachan,05-20-23,33
16,Under the Stars,Laura Pavlov,05-18-23,20
17,Manhood,Josh Hawley,05-16-23,21
18,Waybound,Will Wight,06-06-23,30
19,Accidental Attachment,Max Monroe,05-01-23,25
20,The Ritual,Shantel Tessier,05-09-23,25
21,The Worst Wedding Date,Pippa Grant,04-13-23,25
22,Close Her Eyes,Lisa Regan,05-03-23,25
23,The Path of Ascension 3,C. Mantis,05-17-23,30
24,Emerita Boxing Day,Daniel Schinhofen,05-05-23,25
25,Defiant,Michael R. Miller,07-13-23,30
26,Meat Eater,Steven Rinella,04-25-23,28
27,The Delphi Murders,Nic Edwards,04-20-23,20
28,As Seen on TV,Meredith Schorr,06-07-22,21
29,Glamoured,Jaymin Eve,05-05-23,20
30,Revealed,D.I. Freed,05-16-23,30
31,The Books of Ezekiel and Daniel: Visions of Glory,Simmons Brian,04-28-23,20
32,Little Lost Dolls,M.M. Chouinard,05-04-23,25
33,Boundless Parenting,Ben Greenfield,04-28-23,30
34,Mile High,Liz Tomforde,04-25-23,24
35,A Fire in the Flesh,Jennifer L. Armentrout,10-31-23,33
36,Way to the East,Kirill Klevanski,05-16-23,21
37,The Unwanted Marriage,Catharina Maura,05-16-23,25
38,The Russo-Ukrainian War,Serhii Plokhy,05-16-23,35
39,Apocalypse Redux: Book Three,Jakob H. Greif,05-02-23,25
40,"One Nation Under Blackmail, Vol. 1",Whitney Alyse Webb,03-21-23,25
41,Tell-Tale Bones,Carolyn Haines,05-16-23,28
42,Heal Thyself for Health and Longevity,Queen Afua,04-25-23,20
43,Homeworld Lost,J.N. Chaney,05-06-23,25
44,Between Commitment and Betrayal,Shain Rose,04-17-23,25
45,Dial W for Witch,Amanda M. Lee,04-24-23,20
46,Identity,Nora Roberts,05-23-23,31
47,Do You Believe?,Paul David Tripp,04-27-23,30
48,Distraction,Kelly Fox,05-16-23,20
49,Love Again (Movie Tie-In),Sofie Cramer,05-09-23,24
50,The Postcard,Anne Berest,05-16-23,21
51,The Pope’s Exorcist,Sophia Institute Press,04-26-23,7
52,Prepared,Mike Glover,06-06-23,28
53,Dr. Perfect,Louise Bay,04-20-23,20
54,A Hypnotist’s Journey from the Trail to the Star People,Sarah Breskman Cosme,04-24-23,20
55,House of Pounding Hearts,Olivia Wildenstein,04-19-23,25
56,The Lost Task Force,Vaughn Heppner,04-25-23,25
57,Gauntlet,John G. Doyle,05-10-23,20
58,Chasing Love,Kat T. Masen,05-10-23,25
59,Dirty Crazy Bad,Siobhan Davis,05-12-23,25
60,Escaping Shadows,Kathleen Brooks,04-25-23,20
61,Dungeon Walkers 4,Daniel Schinhofen,05-02-23,25
62,Dressed to Drill,Kate Carlisle,05-16-23,20
63,Murder at Abbeymead Farm,Merryn Allingham,05-16-23,20
64,The Power of Trees,Peter Wohlleben,05-02-23,24
65,Them,Whitley Strieber,04-19-23,25
66,From the Grave,Kresley Cole,04-21-23,25
67,Marx Girl,T L Swan,05-11-23,25
68,Rise of the Weakest Summoner: Volume IV,J. R. Saileri,05-03-23,25
69,Unexpected Bliss,Lexi Blake,05-09-23,25
70,By a Silver Thread,Rachel Aaron,05-03-23,25
71,Deadline,Matthew Costello,04-30-23,5
72,False Truth,Helena Marchmont,05-19-23,5
73,Chapel Bend,Kristen Proby,05-16-23,20
74,Untethered Sky,Fonda Lee,04-25-23,14
75,Creed,Kris Michaels,05-11-23,25
76,Does It Hurt?,H. D. Carlton,03-20-23,25
77,The Magic of Sea Glass,Jenny Hale,05-09-23,49
78,False Start,Neve Wilder,05-19-23,20
79,The Greatness Mindset,Lewis Howes,04-04-23,20
80,The Scottish Ladies' Detective Agency,Lydia Travers,04-27-23,20
81,Strung,Per Jacobsen,04-25-23,20
82,Happily Married,Victoria Jenkins,05-11-23,20
83,From the World of Percy Jackson: Sun and the Star,Rick Riordan,05-02-23,20
84,The Olympian Affair,Jim Butcher,11-07-23,42
85,Look Up!,Jimmy Evans,05-09-23,20
86,Random in Death,J. D. Robb,01-23-24,26
87,To Flail Against Infinity,J. P. Valentine,05-05-23,25
88,Awaken Your Multidimensional Soul,Lee Harris,04-19-23,20
89,Disarmed,Mark W. Smith,05-01-23,15
90,Book of Economics and Finance Business,Chad Diegle,05-08-23,7
91,Question and Answer: What Makes Us Healthy?,Bettye Fields Pearl,05-08-23,15
92,Offside Hearts,Nikki Lawson,05-11-23,25
93,Our King: Charles III,Robert Jobson,04-13-23,40
94,Rapax Pax,Marc Alan Edelheit,05-01-23,30
95,The 16 Undeniable Laws of Communication,John Maxwell,03-28-23,21
96,Until I Get You,Claire Contreras,03-29-23,25
97,Why Women Deserve Less,Myron Gaines,03-29-23,7
98,Murder of a Mermaid,Irina Shapiro,05-09-23,20
99,Making It So,Patrick Stewart,10-03-23,28
100,The Covenant of Water,Abraham Verghese,05-02-23,42
101,Covert Ops,Traci Hunter Abramson,05-09-23,17
102,The One for Me,Rachel Hanna,04-18-23,15
103,The Gambler's Chase,Cap Daniels,04-17-23,20
104,Psycho Academy,Jasmine Mas,04-13-23,25
105,Grace for Purpose Prayers,Hosiah Hope,04-20-23,20
106,Is There a Narcissist in Your Life?,Amanda Clymont,05-04-23,15
107,Defying Logic,Nicky James,05-03-23,25
108,Cataclysm,Sarah Bailey,05-12-23,25
109,The Road to Vanador: A Spellmonger Anthology,Terry Mancour,07-25-23,55
110,Gates of Yog-Sothoth,John Corwin,05-03-23,25
111,Resist,Ava Harrison,05-15-23,25
112,Edge of Steele,Susan Sleeman,05-03-23,20
113,"Silver Magi, Books 1-2",D. Levesque,04-25-23,25
114,The Exchange,John Grisham,10-17-23,35
115,The Wedding Day,Sue Watson,05-17-23,25
116,Childrens Understanding and Absorb Quickly,Jaime Torres,04-27-23,4
117,The Bucket List,Rachel Hanna,04-25-23,20
118,Reading Price Charts Bar by Bar,Al Brooks,04-25-23,25
119,Niccolò Rising,Dorothy Dunnett,05-09-23,24
120,The Last Honest Man,James Risen,05-09-23,36
121,Serenity in the Storm,Kayleigh McEnany,05-02-23,17
122,The Vanishing of Class 3B,Jackie Kabler,05-11-23,16
123,Murder at the Beauty Pageant,Helena Dixon,05-02-23,20
124,Ambrosius,Taylor Rylan,04-26-23,20
125,The Curious Case of the Templeton Swifts,Benedict Brown,04-20-23,49
126,The Shift,Tinx,05-23-23,17
127,Automate Your Busywork,Aytekin Tank,05-30-23,17
128,Death Dates the Oracle,Kristen Painter,04-14-23,20
129,Dragon Heist,Alexander C. Kane,04-27-23,20
130,Parentmoon,L.B. Dunbar,04-24-23,20
131,The Summer Holiday,S.E. Lynes,05-09-23,25
132,Glucose Goddess Method,Jessie Inchauspe,05-02-23,17
133,Korra Is Live,Chukwufumnaya Anita Obidi,05-08-23,7
134,When Race Trumps Merit,Heather Mac Donald,04-18-23,20
135,So Many Steves,Steve Martin,05-02-23,22
136,Fluke,Adriana Locke,04-19-23,20
137,Court of Greed and Gold,Eliza Raine,04-13-23,20
138,Ironwood: A Fae Universe Series,Alessa Thorn,05-09-23,54
139,The Rising of the Shield Hero Volume 05,Aneko Yusagi,04-18-23,18
140,The Ashes and the Star-Cursed King,Carissa Broadbent,08-08-23,45
141,How to Do Magic That Works,Genevieve Davis,05-19-23,7
142,Storm Watch,C. J. Box,02-28-23,24
143,Dragonslayer,Craig Alanson,05-30-23,50
144,Meet Me at the Lake,Carley Fortune,05-02-23,28
145,No Small Bet,Samantha Christy,05-18-23,20
146,System Collapse,Martha Wells,11-14-23,21
147,Barred Desires,Ashley James,05-10-23,20
148,Body Check,J.J. Arias,04-25-23,21
149,The Obstacle Is the Way,Ryan Holiday,02-14-23,28
150,Booked for Murder,Jasmine Webb,01-06-23,17
151,"The Legend of Dave the Villager, Books 16–20",Dave Villager,05-04-23,20
152,The Libyan Diversion,Joel C. Rosenberg,05-16-23,30
153,Castle Town 5,Anya Merchant,05-01-23,20
154,Claiming the Dragon King,Amelia Hutchins,05-04-23,25
155,44.1644° North,Josh Lanyon,05-08-23,15
156,The DNA Way,Kashif Khan,05-16-23,16
157,Cross Down,James Patterson,06-05-23,32
158,Zodiac Academy: The Big A.S.S. Party,Caroline Peckham,04-28-23,7
159,The Gargoyle's Captive,Katee Robert,05-08-23,20
160,The Well-Lived Life,Gladys McGarey MD,05-02-23,19
161,Once upon a Tome,Oliver Darkshire,04-25-23,17
162,That Kind of Guy,Stephanie Archer,04-18-23,20
163,DMV,Bentley Little,05-03-23,25
164,Capitalist Punishment,Vivek Ramaswamy,04-25-23,31
165,Reforged,Seth Haddon,05-09-23,21
166,Run for Your Midlife,Robyn Peterman,04-18-23,26
167,The Five-Star Weekend,Elin Hilderbrand,06-13-23,36
168,Mageling,J.L. Mullins,04-17-23,25
169,The Bird Hotel,Joyce Maynard,05-02-23,25
170,Nomad Capitalist,Andrew Henderson,04-27-23,25
171,Killers of the Flower Moon,David Grann,04-18-17,17
172,Illicit King,Maggie Cole,05-01-23,25
173,The Temporary Wife: Luca and Valentina's Story,Catharina Maura,03-29-23,25
174,The Serpent and the Wings of Night,Carissa Broadbent,04-11-23,45
175,Jungle World,B.V. Larson,05-09-23,45
176,Disruptive Thinking,T. D. Jakes,05-09-23,29
177,8 Rules of Love,Jay Shetty,01-31-23,24
178,Quantum Supremacy,Michio Kaku,05-02-23,32
179,Fast Like a Girl,Dr. Mindy Pelz,12-27-22,18
180,Coach,Devney Perry,04-06-23,20
181,Harold,Steven Wright,05-16-23,19
182,The Wedding Planner,Danielle Steel,05-02-23,24
183,Scattered Minds,Gabor Maté MD,02-07-23,32
184,Ghostly Game,Christine Feehan,05-16-23,28
185,The Exorcism Files,Adam Blai,05-09-23,14
186,Tremendous,"Joey ""Coco"" Diaz",05-02-23,21
187,The Taken One,Brittney Sahin,05-15-23,25
188,Fractal Noise,Christopher Paolini,05-16-23,26
189,Highlanders Hold Grudges,Julie Johnstone,05-10-23,20
190,Making a House and Create a Home,Benjamin Gilbert David,05-03-23,7
191,Communication and Management of this Book,Vernadette Stevens,05-05-23,7
192,Collided,Lauren Asher,05-16-23,21
193,The Echo of Old Books,Barbara Davis,03-28-23,30
194,King: A Life,Jonathan Eig,05-16-23,43
195,"In Love, at Ease",Yogi Trivedi,04-20-23,24
196,Final Day,Richard D. Wiles,05-09-23,25
197,Break Her,Cassie Alexander,05-01-23,20
198,Dark Angel,John Sandford,04-11-23,32
199,Reckoning,Mark Goodwin,05-01-23,20
200,The True Love Experiment,Christina Lauren,05-16-23,24
201,Icebreaker,Hannah Grace,11-23-22,24
202,Champagne Wrath,Nicole Fox,04-25-23,25
203,Tell Me Everything,Minka Kelly,05-02-23,19
204,The 23rd Midnight,James Patterson,05-01-23,29
205,"Assessment of Plant Diversity and Analysis of Community Structure, Economic Analysis Book",Clyde Mercier,05-08-23,7
206,COMO,Dr. Carlos Jaramillo,04-18-23,42
207,What Lurks Between the Fates,Harper L. Woods,04-25-23,33
208,Murder at the Circus,Lee Strauss,05-01-23,15
209,Water Borne,Octavia Randolph,03-21-23,25
210,Blood Prophecy,Mary Rundle,05-17-23,25
211,Business Secrets,Jason Madejczyk,04-25-23,7
212,We Are Worthy,Alisha Williams,04-26-23,25
213,The Making of Another Major Motion Picture Masterpiece,Tom Hanks,05-09-23,38
214,Red Rising,Pierce Brown,01-28-14,35
215,Changing Times at Harpers,Rosie Clarke,05-01-23,19
216,Contagion,A. American,06-06-23,40
217,Bewitched,Laura Thalassa,04-18-23,25
218,Only the Dead,Jack Carr,05-16-23,28
219,First Class Teaching,Michelle Emerson,05-02-23,17
220,Ordinary Notes,Christina Sharpe,04-25-23,19
221,Happily Ever Maybe?,Hailey Shore,05-02-23,40
222,Wild New World,Dan Flores,10-25-22,21
223,Forced Bonds,J Bree,10-07-22,22
224,Cadaver 1,Nick Clausen,03-27-23,20
225,The New World,Monsoon117,05-09-23,30
226,Counter Attack,Patricia Bradley,05-16-23,21
227,Quietly Hostile,Samantha Irby,05-16-23,28
228,The Daddy Diaries,Andy Cohen,05-09-23,26
229,A Kingdom of Flame and Fury,Whitney Dean,04-25-23,45
230,The Greatest Song,Kevin Griffin,04-25-23,20
231,Of Shadow and Moonlight,Luna Laurier,04-19-23,25
232,Ambrosia,C.N. Crawford,03-22-23,20
233,Dirty Thirty,Janet Evanovich,10-31-23,23
234,The Fine Print,Lauren Asher,01-17-23,18
235,Start Your Notary Public & Loan Signing Agent Business,LSAUSA Education,02-07-23,15
236,The Lost Hero,Rick Riordan,09-24-22,23
237,My Brand Compass,Terri-Karelle Reid,04-17-23,15
238,Birnam Wood,Eleanor Catton,03-07-23,25
239,The Accidental Contract,Kos Play,05-15-23,25
240,Wraith King: The Complete Series,Jack Porter,05-15-23,30
241,Clive Cussler Fire Strike,Mike Maden,06-06-23,32
242,An American Beauty,Shana Abe,04-25-23,21
243,Born a Crime,Trevor Noah,11-15-16,22
244,To Kill a Mockingbird,Harper Lee,07-08-14,20
245,The Hitchhiker's Guide to the Galaxy,Douglas Adams,04-28-05,14
246,The Five Dysfunctions of a Team,Patrick Lencioni,10-18-02,14
247,Pilgrims of Fire,Justin D Hill,05-13-23,33
248,Manhandled,L. Blakely,05-10-23,20
249,Shoe Dog,Phil Knight,04-26-16,18
250,Profit First,Mike Michalowicz,02-21-17,18
251,I Have Some Questions for You,Rebecca Makkai,02-21-23,32
252,"Boundaries, Updated and Expanded Edition",John Townsend,02-13-18,17
253,Children of Time,Adrian Tchaikovsky,05-02-17,22
254,Empath And Narcissist,Lisa Kennedy,01-31-23,30
255,"Poverty, by America",Matthew Desmond,03-21-23,32
256,Mike Busch on Engines,Mike Busch,02-23-23,25
257,All My Knotted-Up Life,Beth Moore,02-21-23,15
258,Paris,Paris Hilton,03-14-23,32
259,Start with Why,Simon Sinek,09-05-17,15
260,The Duke and I,Julia Quinn,09-13-16,28
261,The Subtle Art of Not Giving a F*ck,Mark Manson,09-13-16,18
262,The Captain,Will Wight,04-04-23,35
263,The Undertow,Jeff Sharlet,05-02-23,25
264,Eragon,Christopher Paolini,10-16-03,17
265,A Gentleman in Moscow,Amor Towles,09-06-16,19
266,Make Your Bed,William H. McRaven,04-04-17,13
267,Made in Heaven,J.N. Chaney,05-12-23,20
268,Fourth Wing,Rebecca Yarros,05-02-23,38
269,Queen Charlotte,Julia Quinn,05-09-23,31
270,Resurgence,Mark Tufo,08-08-23,35
271,The Dream Builders,Oindrila Mukherjee,01-10-23,33
272,"Honey, Baby, Mine",Laura Dern,04-25-23,29
273,The Awe of God,John Bevere,02-21-23,25
274,Lords of Uncreation,Adrian Tchaikovsky,05-02-23,51
275,The Courage to Be Free,Ron DeSantis,02-28-23,32
276,For You,Jodi Ellen Malpas,04-24-23,25
277,Build the Life You Want,Arthur C. Brooks,09-12-23,35
278,Walking with Sam,Andrew McCarthy,05-09-23,29
279,A Little Life,Hanya Yanagihara,11-01-22,22
280,Homegrown,Jeffrey Toobin,05-02-23,24
281,The Secret Book of Flora Lea,Patti Callahan Henry,05-02-23,23
282,Lost Feather,Merri Bright,05-16-23,21
283,Fallen Foe,L.J. Shen,05-09-23,30
284,Secrets to Destroying Demonic Assignments,Joshua T. Giles,03-29-23,15
285,El Ángel de la Ciudad,Eva García Sáenz de Urturi,03-29-23,25
286,The Monk,Tim Sullivan,04-27-23,17
287,Highest Bidder,Sara Cate,04-03-23,25
288,Spell Thief,J Pal,05-16-23,25
289,Defiance of the Fall 9,TheFirstDefier,04-26-23,30
290,A Kingdom of Gods and Ruin,Caroline Peckham,04-28-23,15
291,Hang the Moon,Jeannette Walls,03-28-23,24
292,Johnson at 10,Anthony Seldon,05-04-23,17
293,Beautiful Carnage,Heather Ashley,03-30-23,20
294,Who Cries for the Lost,C.S. Harris,04-18-23,28
295,Ensnared,Tiffany Roberts,03-27-23,25
296,The Tunnels Beneath,Michael Wisehart,05-16-23,60
297,Women with ADHD,Sarah Davis,10-13-22,13
298,Foreign and Domestic,Scott Blade,04-28-23,20
299,The Daily Dad,Ryan Holiday,05-02-23,32
300,Wool,Hugh Howey,03-07-23,36
301,Outlive,Peter Attia MD,03-28-23,35
302,Cherish,Tracy Wolff,05-30-23,24
303,Murtagh,Christopher Paolini,11-07-23,42
304,The Return of the Gods,Jonathan Cahn,09-06-22,18
305,Yellowface,R. F. Kuang,05-16-23,32
306,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,06-13-17,17
307,The Four Agreements,don Miguel Ruiz,01-27-05,11
308,Sapiens,Yuval Noah Harari,08-15-17,16
309,The Alchemist,Paulo Coelho,12-26-04,17
310,The Untethered Soul,Michael A. Singer,12-12-11,24
311,The Secret,Rhonda Byrne,11-17-06,15
312,Good to Great,Jim Collins,07-13-10,20
313,Traction,Gino Wickman,12-21-12,17
314,Six of Crows,Leigh Bardugo,09-29-15,26
315,You Can't Joke About That,Kat Timpf,04-18-23,32
316,The Wisdom of the Bullfrog,Admiral William H. McRaven,04-04-23,22
317,The Valley,D.J. Molles,04-18-23,25
318,Uzi in the Urn,Dale Mayer,05-11-23,20
319,Forevermore,Dannika Dark,05-09-23,14
320,The Dying Place,Charly Cox,05-09-23,21
321,Empire of the Summer Moon,S. C. Gwynne,09-20-16,17
322,Spare,Prince Harry The Duke of Sussex,01-10-23,25
323,The Name of the Wind,Patrick Rothfuss,05-15-09,26
324,Dead to Me,J M Dalgliesh,03-27-23,20
325,Young Forever,Dr. Mark Hyman MD,02-21-23,32
326,All Who Are Weary,Sarah Hauser,04-25-23,15
327,Don't Look Back,Christine Caine,05-09-23,25
328,Beyond Happiness,Dr. Jennifer Guttman,10-06-22,30
329,The Fae King's Assassin,Alisha Klapheke,05-02-23,40
