,Title,Author,Release date,Price $
0,In Service of Death,JD Kirk,07-25-23,25
1,Zodiac Academy 8.5: Beyond the Veil,Caroline Peckham,07-20-23,25
2,Dark Future,Glenn Beck,07-22-23,25
3,Dead Fall,Brad Thor,07-25-23,24
4,Cartel Queen,JaQuavis Coleman,07-10-23,20
5,Light Bringer,Pierce Brown,07-25-23,42
6,Only Good Enemies,Jennifer Estep,07-18-23,25
7,Magic Tides & Magic Claims,Ilona Andrews,07-10-23,49
8,Beautiful Thorns,Jaymin Eve,07-13-23,25
9,Cypher: Lord of the Fallen,John French,07-15-23,22
10,Truestrike's Treachery,Daniel Schinhofen,07-20-23,25
11,The Witch Collector,Charissa Weaks,07-11-23,21
12,Double Pucked,Lauren Blakely,06-30-23,20
13,Fortune Teller,Jana DeLeon,07-25-23,20
14,The Pucking Wrong Number,C.R. Jane,07-11-23,55
15,Everyone Here Is Lying,Shari Lapena,07-25-23,32
16,Everything,Dakota Krout,06-21-23,25
17,The Summer Palace,Kristen Painter,07-14-23,20
18,Too Late,Colleen Hoover,06-27-23,35
19,Profit First,Mike Michalowicz,07-11-23,28
