,Title,Author,Release date,Price $
0,Korra Is Live,Chukwufumnaya Anita Obidi,05-08-23,7
1,Tremendous,"Joey ""Coco"" Diaz",05-02-23,21
2,Making a House and Create a Home,Benjamin Gilbert David,05-03-23,7
3,Ordinary Notes,Christina Sharpe,04-25-23,19
4,The Greatest Song,Kevin Griffin,04-25-23,20
5,Born a Crime,Trevor Noah,11-15-16,22
6,Becoming Free Indeed,Jinger Duggar Vuolo,01-31-23,25
7,Don't Tell Anybody the Secrets I Told You,Lucinda Williams,04-25-23,28
8,"Creativity, Inc.",Ed Catmull,04-08-14,16
9,A Life in Parts,Bryan Cranston,10-11-16,14
10,Bossypants,Tina Fey,04-05-11,18
11,Deliver Me from Nowhere,Warren Zanes,05-02-23,28
12,The Creative Act,Rick Rubin,01-17-23,32
13,How to Make It in the New Music Business (3rd Edition),Ari Herstand,03-21-23,24
14,Stories I Only Tell My Friends,Rob Lowe,04-26-11,15
15,Wildflower,Drew Barrymore,10-27-15,15
16,Artpreneur,Miriam Schulman,01-31-23,29
17,Killin' Generals,Dwayne Epstein,04-25-23,17
18,Does the Noise in My Head Bother You?,Steven Tyler,05-03-11,30
19,Tinseltown,William J. Mann,10-14-14,21
20,Korra Is Live,Chukwufumnaya Anita Obidi,05-08-23,7
21,Tremendous,"Joey ""Coco"" Diaz",05-02-23,21
22,Making a House and Create a Home,Benjamin Gilbert David,05-03-23,7
23,Ordinary Notes,Christina Sharpe,04-25-23,19
24,The Greatest Song,Kevin Griffin,04-25-23,20
25,Born a Crime,Trevor Noah,11-15-16,22
26,Becoming Free Indeed,Jinger Duggar Vuolo,01-31-23,25
27,Don't Tell Anybody the Secrets I Told You,Lucinda Williams,04-25-23,28
28,"Creativity, Inc.",Ed Catmull,04-08-14,16
29,A Life in Parts,Bryan Cranston,10-11-16,14
30,Bossypants,Tina Fey,04-05-11,18
31,Deliver Me from Nowhere,Warren Zanes,05-02-23,28
32,The Creative Act,Rick Rubin,01-17-23,32
33,How to Make It in the New Music Business (3rd Edition),Ari Herstand,03-21-23,24
34,Stories I Only Tell My Friends,Rob Lowe,04-26-11,15
35,Wildflower,Drew Barrymore,10-27-15,15
36,Artpreneur,Miriam Schulman,01-31-23,29
37,Killin' Generals,Dwayne Epstein,04-25-23,17
38,Does the Noise in My Head Bother You?,Steven Tyler,05-03-11,30
39,Tinseltown,William J. Mann,10-14-14,21
40,Elon Musk,Walter Isaacson,09-12-23,33
41,The Delphi Murders,Nic Edwards,04-20-23,20
42,Our King: Charles III,Robert Jobson,04-13-23,40
43,Making It So,Patrick Stewart,10-03-23,28
44,The Last Honest Man,James Risen,05-09-23,36
45,The Shift,Tinx,05-23-23,17
46,Korra Is Live,Chukwufumnaya Anita Obidi,05-08-23,7
47,So Many Steves,Steve Martin,05-02-23,22
48,Once upon a Tome,Oliver Darkshire,04-25-23,17
49,Killers of the Flower Moon,David Grann,04-18-17,17
50,Tremendous,"Joey ""Coco"" Diaz",05-02-23,21
51,King: A Life,Jonathan Eig,05-16-23,43
52,"In Love, at Ease",Yogi Trivedi,04-20-23,24
53,Tell Me Everything,Minka Kelly,05-02-23,19
54,Ordinary Notes,Christina Sharpe,04-25-23,19
55,Quietly Hostile,Samantha Irby,05-16-23,28
56,The Daddy Diaries,Andy Cohen,05-09-23,26
57,Shoe Dog,Phil Knight,04-26-16,18
58,All My Knotted-Up Life,Beth Moore,02-21-23,15
59,Paris,Paris Hilton,03-14-23,32
60,Elon Musk,Walter Isaacson,09-12-23,33
61,The Delphi Murders,Nic Edwards,04-20-23,20
62,Our King: Charles III,Robert Jobson,04-13-23,40
63,Making It So,Patrick Stewart,10-03-23,28
64,The Last Honest Man,James Risen,05-09-23,36
65,The Shift,Tinx,05-23-23,17
66,Korra Is Live,Chukwufumnaya Anita Obidi,05-08-23,7
67,So Many Steves,Steve Martin,05-02-23,22
68,Once upon a Tome,Oliver Darkshire,04-25-23,17
69,Killers of the Flower Moon,David Grann,04-18-17,17
70,Tremendous,"Joey ""Coco"" Diaz",05-02-23,21
71,King: A Life,Jonathan Eig,05-16-23,43
72,"In Love, at Ease",Yogi Trivedi,04-20-23,24
73,Tell Me Everything,Minka Kelly,05-02-23,19
74,Ordinary Notes,Christina Sharpe,04-25-23,19
75,Quietly Hostile,Samantha Irby,05-16-23,28
76,The Daddy Diaries,Andy Cohen,05-09-23,26
77,Shoe Dog,Phil Knight,04-26-16,18
78,All My Knotted-Up Life,Beth Moore,02-21-23,15
79,Paris,Paris Hilton,03-14-23,32
