,Title,Author,Release date,Price $
0,Elon Musk,Walter Isaacson,09-12-23,33
1,Light Bringer,Pierce Brown,07-25-23,31
2,The Gift,Sebastian Fitzek,05-18-23,30
3,The Lion: Son of the Forest,Mike Brooks,04-22-23,33
4,Clue Krewe,Jana DeLeon,06-13-23,20
5,The Silmarillion,J. R. R. Tolkien,06-22-23,22
6,Technology Specs Book,Ricardo Navarrete Mendez,05-18-23,7
7,Technology Book Trend,Lumumba Shabazz,05-18-23,7
8,Shattersoul,Kyle Kirrin,06-02-23,30
9,Azarinth Healer: Book Two,Rhaegar,04-28-23,25
10,Runaway Love,Melanie Harlow,05-01-23,20
11,Cherry Picked,May Archer,05-16-23,20
12,Ward D,Freida McFadden,05-09-23,49
13,The Primal Hunter 5,Zogarth,05-17-23,25
14,10x Is Easier than 2x,Dan Sullivan,05-09-23,21
15,Blightslayer,Richard Strachan,05-20-23,33
16,Under the Stars,Laura Pavlov,05-18-23,20
17,Manhood,Josh Hawley,05-16-23,21
18,Waybound,Will Wight,06-06-23,30
19,Accidental Attachment,Max Monroe,05-01-23,25
