,Departure date,Return date,Nights Count,Departure from,Departure to,Departure air company,Departure duration,Return from,Return to,Return air company,Return duration,Price
0,Fri 20 Oct,Wed 25 Oct,5,"00:45 Belgrade Belgrade Nikola Tesla
(BEG)","03:15 Athens Athens International
(ATH)",Air Serbia,1h 30m,"04:35 Athens Athens International
(ATH)","05:15 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 30m,113 €
1,Thu 19 Oct,Wed 25 Oct,6,"00:45 Belgrade Belgrade Nikola Tesla
(BEG)","03:15 Athens Athens International
(ATH)",Air Serbia,1h 30m,"04:35 Athens Athens International
(ATH)","05:15 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 30m,113 €
2,Fri 20 Oct,Wed 25 Oct,5,"12:25 Belgrade Belgrade Nikola Tesla
(BEG)","14:55 Athens Athens International
(ATH)",Air Serbia,1h 30m,"04:35 Athens Athens International
(ATH)","05:15 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 30m,113 €
3,Fri 20 Oct,Thu 26 Oct,6,"00:45 Belgrade Belgrade Nikola Tesla
(BEG)","03:15 Athens Athens International
(ATH)",Air Serbia,1h 30m,"04:35 Athens Athens International
(ATH)","05:15 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 30m,113 €
4,Thu 21 Sep,Tue 26 Sep,5,"00:45 Belgrade Belgrade Nikola Tesla
(BEG)","03:15 Athens Athens International
(ATH)",Air Serbia,1h 30m,"16:35 Athens Athens International
(ATH)","17:15 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 30m,113 €
5,Wed 18 Oct,Tue 24 Oct,6,"00:45 Belgrade Belgrade Nikola Tesla
(BEG)","03:15 Athens Athens International
(ATH)",Air Serbia,1h 30m,"16:35 Athens Athens International
(ATH)","17:15 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 30m,113 €
6,Fri 20 Oct,Thu 26 Oct,6,"12:25 Belgrade Belgrade Nikola Tesla
(BEG)","14:55 Athens Athens International
(ATH)",Air Serbia,1h 30m,"16:20 Athens Athens International
(ATH)","17:00 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 30m,113 €
7,Wed 18 Oct,Tue 24 Oct,6,"12:15 Belgrade Belgrade Nikola Tesla
(BEG)","14:45 Athens Athens International
(ATH)",Air Serbia,1h 30m,"16:35 Athens Athens International
(ATH)","17:15 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 30m,113 €
8,Thu 21 Sep,Tue 26 Sep,5,"00:45 Belgrade Belgrade Nikola Tesla
(BEG)","03:15 Athens Athens International
(ATH)",Air Serbia,1h 30m,"05:00 Athens Athens International
(ATH)","05:40 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 30m,113 €
9,Fri 20 Oct,Thu 26 Oct,6,"12:25 Belgrade Belgrade Nikola Tesla
(BEG)","14:55 Athens Athens International
(ATH)",Air Serbia,1h 30m,"04:35 Athens Athens International
(ATH)","05:15 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 30m,113 €
