,Title,Author,Release date,Price $
0,Born a Crime,Trevor Noah,11-15-16,22
1,The Art Thief,Michael Finkel,06-27-23,32
2,Why Sinéad O'Connor Matters,Allyson McCabe,06-27-23,9
3,"Friends, Lovers, and the Big Terrible Thing",Matthew Perry,11-01-22,20
4,The Creative Act,Rick Rubin,01-17-23,32
5,Brothers and Sisters,Alan Paul,07-25-23,26
6,The Swerve,Stephen Greenblatt,09-29-11,25
7,The Last Leonardo,Ben Lewis,06-25-19,21
8,The Artist's Way: 25th Anniversary Edition,Julia Cameron,03-23-21,15
9,Tremendous,"Joey ""Coco"" Diaz",05-02-23,21
10,Never Broken,Jewel,09-15-15,24
11,Making Movies,Sidney Lumet,12-05-17,21
12,Amusing Ourselves to Death,Neil Postman,01-16-07,17
13,Unf--k Your Brain,Faith G. Harper PhD LPC-S ACS ACN,03-20-18,17
14,"Hope, Grace & Faith",Leah Messer,03-02-21,14
15,Art & Fear,David Bayles,04-23-12,14
16,The Science of Interstellar,Kip Thorne,01-09-15,24
17,The Music Lesson,Victor L. Wooten,06-01-10,21
18,Billy Kelly: This Is a Family Show!,Billy Kelly,03-05-20,6
19,NPR Road Trips Collection,National Public Radio Inc.,09-15-16,21
20,Born a Crime,Trevor Noah,11-15-16,22
21,The Art Thief,Michael Finkel,06-27-23,32
22,Why Sinéad O'Connor Matters,Allyson McCabe,06-27-23,9
23,"Friends, Lovers, and the Big Terrible Thing",Matthew Perry,11-01-22,20
24,The Creative Act,Rick Rubin,01-17-23,32
25,Brothers and Sisters,Alan Paul,07-25-23,26
26,The Swerve,Stephen Greenblatt,09-29-11,25
27,The Last Leonardo,Ben Lewis,06-25-19,21
28,The Artist's Way: 25th Anniversary Edition,Julia Cameron,03-23-21,15
29,Tremendous,"Joey ""Coco"" Diaz",05-02-23,21
30,Never Broken,Jewel,09-15-15,24
31,Making Movies,Sidney Lumet,12-05-17,21
32,Amusing Ourselves to Death,Neil Postman,01-16-07,17
33,Unf--k Your Brain,Faith G. Harper PhD LPC-S ACS ACN,03-20-18,17
34,"Hope, Grace & Faith",Leah Messer,03-02-21,14
35,Art & Fear,David Bayles,04-23-12,14
36,The Science of Interstellar,Kip Thorne,01-09-15,24
37,The Music Lesson,Victor L. Wooten,06-01-10,21
38,Billy Kelly: This Is a Family Show!,Billy Kelly,03-05-20,6
39,NPR Road Trips Collection,National Public Radio Inc.,09-15-16,21
40,Born a Crime,Trevor Noah,11-15-16,22
41,The Art Thief,Michael Finkel,06-27-23,32
42,Why Sinéad O'Connor Matters,Allyson McCabe,06-27-23,9
43,"Friends, Lovers, and the Big Terrible Thing",Matthew Perry,11-01-22,20
44,The Creative Act,Rick Rubin,01-17-23,32
45,Brothers and Sisters,Alan Paul,07-25-23,26
46,The Swerve,Stephen Greenblatt,09-29-11,25
47,The Last Leonardo,Ben Lewis,06-25-19,21
48,The Artist's Way: 25th Anniversary Edition,Julia Cameron,03-23-21,15
49,Tremendous,"Joey ""Coco"" Diaz",05-02-23,21
50,Never Broken,Jewel,09-15-15,24
51,Making Movies,Sidney Lumet,12-05-17,21
52,Amusing Ourselves to Death,Neil Postman,01-16-07,17
53,Unf--k Your Brain,Faith G. Harper PhD LPC-S ACS ACN,03-20-18,17
54,"Hope, Grace & Faith",Leah Messer,03-02-21,14
55,Art & Fear,David Bayles,04-23-12,14
56,The Science of Interstellar,Kip Thorne,01-09-15,24
57,The Music Lesson,Victor L. Wooten,06-01-10,21
58,Billy Kelly: This Is a Family Show!,Billy Kelly,03-05-20,6
59,NPR Road Trips Collection,National Public Radio Inc.,09-15-16,21
60,Born a Crime,Trevor Noah,11-15-16,22
61,The Art Thief,Michael Finkel,06-27-23,32
62,Why Sinéad O'Connor Matters,Allyson McCabe,06-27-23,9
63,"Friends, Lovers, and the Big Terrible Thing",Matthew Perry,11-01-22,20
64,The Creative Act,Rick Rubin,01-17-23,32
65,Brothers and Sisters,Alan Paul,07-25-23,26
66,The Swerve,Stephen Greenblatt,09-29-11,25
67,The Last Leonardo,Ben Lewis,06-25-19,21
68,The Artist's Way: 25th Anniversary Edition,Julia Cameron,03-23-21,15
69,Tremendous,"Joey ""Coco"" Diaz",05-02-23,21
70,Never Broken,Jewel,09-15-15,24
71,Making Movies,Sidney Lumet,12-05-17,21
72,Amusing Ourselves to Death,Neil Postman,01-16-07,17
73,Unf--k Your Brain,Faith G. Harper PhD LPC-S ACS ACN,03-20-18,17
74,"Hope, Grace & Faith",Leah Messer,03-02-21,14
75,Art & Fear,David Bayles,04-23-12,14
76,The Science of Interstellar,Kip Thorne,01-09-15,24
77,The Music Lesson,Victor L. Wooten,06-01-10,21
78,Billy Kelly: This Is a Family Show!,Billy Kelly,03-05-20,6
79,NPR Road Trips Collection,National Public Radio Inc.,09-15-16,21
80,Born a Crime,Trevor Noah,11-15-16,22
81,The Art Thief,Michael Finkel,06-27-23,32
82,Why Sinéad O'Connor Matters,Allyson McCabe,06-27-23,9
83,"Friends, Lovers, and the Big Terrible Thing",Matthew Perry,11-01-22,20
84,The Creative Act,Rick Rubin,01-17-23,32
85,Brothers and Sisters,Alan Paul,07-25-23,26
86,The Swerve,Stephen Greenblatt,09-29-11,25
87,The Last Leonardo,Ben Lewis,06-25-19,21
88,The Artist's Way: 25th Anniversary Edition,Julia Cameron,03-23-21,15
89,Tremendous,"Joey ""Coco"" Diaz",05-02-23,21
90,Never Broken,Jewel,09-15-15,24
91,Making Movies,Sidney Lumet,12-05-17,21
92,Amusing Ourselves to Death,Neil Postman,01-16-07,17
93,Unf--k Your Brain,Faith G. Harper PhD LPC-S ACS ACN,03-20-18,17
94,"Hope, Grace & Faith",Leah Messer,03-02-21,14
95,Art & Fear,David Bayles,04-23-12,14
96,The Science of Interstellar,Kip Thorne,01-09-15,24
97,The Music Lesson,Victor L. Wooten,06-01-10,21
98,Billy Kelly: This Is a Family Show!,Billy Kelly,03-05-20,6
99,NPR Road Trips Collection,National Public Radio Inc.,09-15-16,21
100,Born a Crime,Trevor Noah,11-15-16,22
101,The Art Thief,Michael Finkel,06-27-23,32
102,Why Sinéad O'Connor Matters,Allyson McCabe,06-27-23,9
103,"Friends, Lovers, and the Big Terrible Thing",Matthew Perry,11-01-22,20
104,The Creative Act,Rick Rubin,01-17-23,32
105,Brothers and Sisters,Alan Paul,07-25-23,26
106,The Swerve,Stephen Greenblatt,09-29-11,25
107,The Last Leonardo,Ben Lewis,06-25-19,21
108,The Artist's Way: 25th Anniversary Edition,Julia Cameron,03-23-21,15
109,Tremendous,"Joey ""Coco"" Diaz",05-02-23,21
110,Never Broken,Jewel,09-15-15,24
111,Making Movies,Sidney Lumet,12-05-17,21
112,Amusing Ourselves to Death,Neil Postman,01-16-07,17
113,Unf--k Your Brain,Faith G. Harper PhD LPC-S ACS ACN,03-20-18,17
