,Title,Author,Release date,Price $
0,Dark Future,Glenn Beck,07-22-23,25
1,Cartel Queen,JaQuavis Coleman,07-10-23,20
2,In Service of Death,JD Kirk,07-25-23,25
3,Mine to Take,Natasha Madison,07-24-23,20
4,The Saad Truth About Happiness,Gad Saad,07-25-23,26
5,On the Shore,Laura Pavlov,07-27-23,20
6,Zodiac Academy 8.5: Beyond the Veil,Caroline Peckham,07-20-23,25
7,Fanatical Prospecting,Jeb Blount,07-25-23,17
8,Magic Tides & Magic Claims,Ilona Andrews,07-10-23,49
9,Cypher: Lord of the Fallen,John French,07-15-23,22
10,The Witch Collector,Charissa Weaks,07-11-23,21
11,The Summer Palace,Kristen Painter,07-14-23,20
12,Too Late,Colleen Hoover,06-27-23,35
13,Prepper: Book 1,Tom Abrahams,07-26-23,20
14,Profit First,Mike Michalowicz,07-11-23,28
15,The Pucking Wrong Number,C.R. Jane,07-11-23,55
16,Her Last Tear,Stacy Green,07-25-23,20
17,Meet Your Match,Kandi Steiner,07-03-23,20
18,All the Black Girls Are Activists,EbonyJanice Moore,07-11-23,11
19,Only Good Enemies,Jennifer Estep,07-18-23,25
