,Title,Author,Release date,Price $
0,Dark Future,Glenn Beck,07-22-23,25
1,Cartel Queen,JaQuavis Coleman,07-22-23,20
2,The Saad Truth About Happiness,Gad Saad,07-22-23,26
3,In Service of Death,JD Kirk,07-22-23,25
4,Mine to Take,Natasha Madison,07-22-23,20
5,Manslayer,Nathan Long,07-22-23,33
6,On the Shore,Laura Pavlov,07-22-23,20
7,Prepper: Book 1,Tom Abrahams,07-22-23,20
8,Zodiac Academy 8.5: Beyond the Veil,Caroline Peckham,07-22-23,25
9,The Witch Collector,Charissa Weaks,07-22-23,21
10,The Summer Palace,Kristen Painter,07-22-23,20
11,Too Late,Colleen Hoover,07-22-23,35
12,Cypher: Lord of the Fallen,John French,07-22-23,22
13,Profit First,Mike Michalowicz,07-22-23,28
14,Renegades: Harrowmaster,Mike Brooks,07-22-23,33
15,Fanatical Prospecting,Jeb Blount,07-22-23,17
16,Meet Your Match,Kandi Steiner,07-22-23,20
17,All the Black Girls Are Activists,EbonyJanice Moore,07-22-23,11
18,Only Good Enemies,Jennifer Estep,07-22-23,25
19,"Avatar, The Last Airbender: The Legacy of Yangchen",F. C. Yee,07-22-23,29
20,Truestrike's Treachery,Daniel Schinhofen,07-20-23,25
21,Cypress Ashes,Kai Butler,07-20-23,25
22,Relentless Courage,Shauna Springer,07-20-23,20
23,Hidden Away at Promise Lodge,Charlotte Hubbard,07-20-23,17
24,Surrendered to the Holy Spirit,Hayley Braun,07-20-23,20
25,Her Last Tear,Stacy Green,07-20-23,20
26,The Runaways,Devney Perry,07-20-23,30
27,Fortune Teller,Jana DeLeon,07-20-23,20
28,Hunter's Descent,Alice Winters,07-20-23,20
29,The Seven Primal Questions,Mike Foster,07-20-23,15
30,Double Pucked,Lauren Blakely,07-20-23,20
31,How I Stole the Princess’s White Knight and Turned Him to Villainy: The Complete Works,AJ Sherwood,07-20-23,25
32,Fastrope,L.T. Ryan,07-20-23,20
33,Malum Discordiae,Ashlyn Drewek,07-20-23,21
34,Accelerate Your Real Estate,Niti Jamdar,07-20-23,20
35,How to Talk About Jesus Without Looking Like an Idiot,Andy Bannister,07-20-23,21
36,Can't Help Falling in Love with an Alien,Chloe Archer,07-20-23,25
37,Unlock Your Greatness,Zig Ziglar,07-20-23,20
38,Dead of Winter,Darcy Coates,07-20-23,25
39,Murder Is a Piece of Cake,Valerie Burns,07-20-23,21
40,Broken Beyond Repair,Emily Banting,07-19-23,20
41,Beautiful Thorns,Jaymin Eve,07-19-23,25
42,Unleash for Love,Alesha Reneé,07-19-23,25
43,Intoxication,Charlene Namdhari,07-19-23,25
44,Freaky West,Amanda M. Lee,07-19-23,20
45,Rich Nurse Poor Nurses,Patrice M. Foster,07-19-23,15
46,Off to the Races,Elsie Silver,07-19-23,17
47,The Shadow Work Workbook,Rachel Porter,07-19-23,20
48,Slot Machine Fever Dreams,Chris Bohjalian,07-19-23,2
49,The Forbidden Wolf King,Leia Stone,07-19-23,20
50,Her Dying Kiss,Jennifer Chase,07-19-23,20
51,You Can Die,Rebecca Zanetti,07-19-23,17
52,The AI Revolution in Medicine,Peter Lee,07-19-23,20
53,Dirty Laundry,Richard Pink,07-19-23,21
54,Murder at the Royal Ruby,Nita Prose,07-19-23,2
55,The 22 Laws of Category Design,Category Pirates,07-19-23,20
56,The Start of Something Wonderful,Jessica Redland,07-19-23,19
57,Awakening Horde,M Zaugg,07-19-23,30
58,The Opposite of Namaste,Timber Hawkeye,07-19-23,15
59,Rise of the Lycanthrope,Brock Walker,07-19-23,30
60,Inferno,Chelle Bliss,07-25-23,20
61,Our Cosmic Origin,Ismael Perez,07-25-23,25
62,Into the Bright Sunshine,Samuel G. Freedman,07-25-23,21
63,Rescue Instinct,Fiona Quinn,07-25-23,17
64,Peaches and Cream,Georgia Beers,07-25-23,20
65,The Secret History,Donna Tartt,07-25-23,42
66,Power to the Middle,Bill Schaninger,07-25-23,17
67,Tuaca Tan,Traci Andrighetti,07-25-23,25
68,The Lady from Burma,Allison Montclair,07-25-23,17
69,Extra Nos,FLAME,07-25-23,21
70,Golf Beneath the Surface,Raymond Prior,07-25-23,17
71,Firebrand: The Novice,D.E. Olesen,07-25-23,25
72,Forever After All,Catharina Maura,07-25-23,25
73,Gray,Jaclyn Osborn,07-25-23,20
74,Teacher of the Year,M.A. Wardell,07-25-23,25
75,One Touch,Lena Hendrix,07-25-23,20
76,Kicking Ass After 50,Ken Berry,07-25-23,15
77,All the Leaves Are Brown,Scott G. Shea,07-25-23,24
78,Fourth Wing,Rebecca Yarros,07-25-23,38
79,One Last Bullet,James P. Sumner,07-20-23,20
80,Murder in Bermuda,James Patterson,07-20-23,25
81,How the War Was Won,Phillips Payson O'Brien,07-20-23,24
82,Shame,Skyler Mason,07-20-23,20
83,The Conquered World,Elin Wyn,07-20-23,30
84,Aftershock,Joshua Dalzelle,07-20-23,20
85,Stealing the Show,Lucy Lennox,07-20-23,7
86,The Asset,Saul Herzog,07-20-23,25
87,Meddlesome Money,Mildred Abbott,07-20-23,26
88,The Obstacle Is the Way,Ryan Holiday,07-20-23,28
89,Maniac,Onley James,07-20-23,20
90,Theoderic the Great,Hans-Ulrich Wiemer,07-20-23,24
91,Lunamare,Pepper Winters,07-20-23,25
92,The Perfect Girlfriend,Hayley Smith,07-20-23,49
93,A Silent Understanding,Jean Grainger,07-20-23,49
94,One Summer in Savannah,Terah Shelton Harris,07-20-23,21
95,Sovereign Mage,Inadvisably Compelled,07-20-23,25
96,His Pretty Little Burden,Nicci Harris,07-20-23,25
97,Reverse Meditation,Andrew Holecek,07-20-23,15
98,Hunger: The Complete Trilogy,Jeremy Robinson,07-20-23,60
99,Fast Like a Girl,Dr. Mindy Pelz,12-27-22,18
100,Those Empty Eyes,Charlie Donlea,12-27-22,28
101,Grumpy Romance,Nia Arthurs,12-27-22,25
102,I Won't Shut Up,Ally Henny,12-27-22,17
103,Open Workbook of Cryptology,Kyle Pitts Allen,12-27-22,15
104,Peace Spawner,Alvin Atwater,12-27-22,25
105,Dave the Villager 22: An Unofficial Minecraft Novel,Dave Villager,12-27-22,7
106,Magic Tides & Magic Claims,Ilona Andrews,12-27-22,49
107,All My Knotted-Up Life,Beth Moore,12-27-22,15
108,The Daddy Diaries,Andy Cohen,12-27-22,26
109,The Eighth Harmony,A. F. Kay,12-27-22,25
110,Fractured,Bobby Akart,12-27-22,20
111,Eight Bears,Gloria Dickie,12-27-22,17
112,Hyperspace,Michio Kaku,12-27-22,21
113,Lost Proof,Michael Stagg,12-27-22,40
114,King of Pride,Ana Huang,12-27-22,25
115,Hextraordinary Circumstances,Lily Harper Hart,12-27-22,20
116,Final Vows,Karen Kingsbury,12-27-22,17
117,Beyond the Story,BTS,12-27-22,26
118,How to Wholesale Real Estate,Jamil Damji,12-27-22,20
119,Mastering Magic 2,Kirk Mason,07-17-23,20
120,A Soul of Ash and Blood,Jennifer L. Armentrout,07-17-23,31
121,Icebreaker,Hannah Grace,07-17-23,24
122,The Road to Vanador: A Spellmonger Anthology,Terry Mancour,07-17-23,55
123,After Death,Dean Koontz,07-17-23,25
124,Sage,Kris Michaels,07-17-23,20
125,Shadow over Tokyo,John Corwin,07-17-23,25
126,The Covenant of Water,Abraham Verghese,07-17-23,42
127,Cor Amare,Pepper Winters,07-17-23,25
128,The Menopause Reset,Dr. Mindy Pelz,07-17-23,15
129,You Will Own Nothing,Carol Roth,07-17-23,32
130,American Pastoral,Philip Roth,07-17-23,36
131,Light Bringer,Pierce Brown,07-17-23,42
132,You Are a Theologian,Jen Wilkin,07-17-23,16
133,Marigold,Melissa Brayden,07-17-23,25
134,The Ritual,Shantel Tessier,07-17-23,25
135,The Pucking Wrong Number,C.R. Jane,07-17-23,55
136,Two Little Souls,B.R. Spangler,07-17-23,20
137,Rule,Cassandra Robbins,07-17-23,20
138,Blowback,Miles Taylor,07-17-23,23
139,The Controller,Matt Brolly,01-30-23,25
140,The Warrior Poet Way,John Lovell,01-30-23,28
141,Birds in Flight,Anni Taylor,01-30-23,22
142,Genealogy of a Murder,Lisa Belkin,01-30-23,21
143,Losers: Part 1,Harley LaRoux,01-30-23,50
144,Until I Get You,Claire Contreras,01-30-23,25
145,I Should Have Read the EULA,Keegan Connelly,01-30-23,32
146,FFFHAMS,Eloheem Ali,01-30-23,20
147,Ultra-Processed People,Chris van Tulleken,01-30-23,36
148,10x Is Easier than 2x,Dan Sullivan,01-30-23,21
149,The Parrot and the Igloo,David Lipsky,01-30-23,21
150,Against the Web,Michael Brooks,01-30-23,10
151,Demon DIY 2,Gwen Grayson,01-30-23,28
152,Disentangling from Emotionally Immature People,Lindsay C. Gibson PsyD,01-30-23,17
153,"Security Analysis, Seventh Edition",Benjamin Graham,01-30-23,30
154,Catching Up to Crypto,Ben Armstrong,01-30-23,17
155,Vengeance Is Mine,Richard E. Turley,01-30-23,35
156,Obsessed,James Patterson,01-30-23,29
157,The Secret Wealth Advantage,Akhil Patel,01-30-23,25
158,Claimed by Fate,Shannon Mayer,01-30-23,20
159,The Body Revelation,Alisa Keeton,06-13-23,21
160,Bird by Bird,Anne Lamott,06-13-23,24
161,Satellite Boy,Andrew Amelinckx,06-13-23,21
162,All the Demons Are Here,Jake Tapper,06-13-23,32
163,Hart's Ridge,Kay Bratt,06-13-23,40
164,"Women We Buried, Women We Burned",Rachel Louise Snyder,06-13-23,21
165,Black Ties and White Lies,Kat Singleton,06-13-23,45
166,Dead Fall,Brad Thor,06-13-23,24
167,Rowan,Robin D. Mahle,06-13-23,26
168,Holy Spirit: The Bondage Breaker,David Diga Hernandez,06-13-23,20
169,American Black Widow,Gregg Olsen,06-13-23,25
170,The Anniversary,Stephanie Bishop,06-13-23,21
171,The King of Late Night,Greg Gutfeld,06-13-23,19
172,Easy Money,Ben McKenzie,06-13-23,15
173,Wanderlust,Reid Mitenbuler,06-13-23,32
174,"The Dream, the Journey, Eternity, and God",Sara Landon,06-13-23,15
175,One True Loves,Taylor Jenkins Reid,06-13-23,19
176,Everything,Dakota Krout,06-13-23,25
177,The 16 Undeniable Laws of Communication,John Maxwell,06-13-23,21
178,Pink Lemonade Cake Murder,Joanne Fluke,06-13-23,21
179,A Nefarious Plot,Steve Deace,07-24-23,20
180,Echoes Fade,Jeff Carson,07-24-23,20
181,Dragon's Justice 7,Bruce Sentar,07-24-23,25
182,Shadow of Anubis,Dan Willis,07-24-23,20
183,Darkkin Knight,John Conroe,07-24-23,25
184,The Modern Girl's Guide to Magic,Linsey Hall,07-24-23,20
185,The War on Ivermectin,Pierre Kory,07-24-23,18
186,Playground,Aron Beauregard,07-24-23,17
187,The Collector,Daniel Silva,07-24-23,32
188,Sapiens,Yuval Noah Harari,07-24-23,16
189,The Untethered Soul,Michael A. Singer,07-24-23,24
190,The Heat Will Kill You First,Jeff Goodell,07-24-23,32
191,Unbroken Bonds of Battle,Johnny Joey Jones,07-24-23,32
192,Who Killed Truth?,Jill Lepore,07-24-23,14
193,Crook Manifesto,Colson Whitehead,07-24-23,35
194,Devious Obsession,S. Massery,07-24-23,25
195,A Novel Proposal,Denise Hunter,07-24-23,29
196,The Wishing Game,Meg Shaffer,07-24-23,32
197,The Prince of Tides,Pat Conroy,07-24-23,59
198,Losing Our Religion,Russell Moore,07-24-23,24
199,Banyan Moon,Thao Thai,06-27-23,32
200,Storm Surge,Blaine L. Pardoe,06-27-23,25
201,The Full Fee Agent,Chris Voss,06-27-23,20
202,American Prometheus,Kai Bird,06-27-23,30
203,Curse of Riches,Claire Prentice,06-27-23,30
204,Wanted,Lindsay Buroker,06-27-23,25
205,The Umbra King,Jamie Applegate Hunter,06-27-23,45
206,The Chosen Presents,Steve Laube,06-27-23,20
207,Yours Truly,Abby Jimenez,06-27-23,32
208,All the Sinners Bleed,S. A. Cosby,06-27-23,26
209,Disruptive Thinking,T. D. Jakes,06-27-23,29
210,"Love, Theoretically",Ali Hazelwood,06-27-23,32
211,My Magnolia Summer,Victoria Benton Frank,06-27-23,32
212,Homecoming,Kate Morton,06-27-23,19
213,Plays Well with Others,Lauren Blakely,06-27-23,20
214,The Shift,Tinx,06-27-23,17
215,Moonlight Relic,David North,06-27-23,25
216,A Little Life,Hanya Yanagihara,06-27-23,22
217,Lady Tan's Circle of Women,Lisa See,06-27-23,24
218,Everyone Here Is Lying,Shari Lapena,06-27-23,32
219,Raised to Stay,Natalie Runion,07-04-23,21
220,A Stone of Destiny and Despair,A.P Beswick,07-04-23,20
221,The Awe of God,John Bevere,07-04-23,25
222,The Blood Sugar Fix,James DiNicolantonio,07-04-23,20
223,Amanecida,Dennis Vanderkerken,07-04-23,25
224,His True Mate,Julie Trettel,07-04-23,17
225,The Alchemist,Paulo Coelho,07-04-23,17
226,Born a Crime,Trevor Noah,07-04-23,22
227,One of Us Is Back,Karen M. McManus,07-04-23,35
228,Call the Canaries Home,Laura Barrow,07-04-23,30
229,Birnam Wood,Eleanor Catton,07-04-23,25
230,Mother of God,Paul Rosolie,07-04-23,20
231,Killers of the Flower Moon,David Grann,07-04-23,17
232,Extreme Ownership,Jocko Willink,07-04-23,15
233,Does It Hurt?,H. D. Carlton,07-04-23,25
234,In Harm's Way,Doug Stanton,07-04-23,22
235,His Pretty Little Queen,Nicci Harris,07-04-23,25
236,Mind over Menopause,Pahla Bowers,07-04-23,40
237,Legacy,Marie James,07-04-23,20
238,First Comes Love,Nicole French,07-04-23,45
239,Kairos,Jenny Erpenbeck,06-12-23,25
240,My Dark Romeo,L.J. Shen,06-12-23,25
241,Max’s Logs Vol. 2,Igor Nikolic,06-12-23,14
242,The Wall of Winnipeg and Me,Mariana Zapata,06-12-23,44
243,Contractually Yours,Nadia Lee,06-12-23,25
244,The Secret,Rhonda Byrne,06-12-23,15
245,Traction,Gino Wickman,06-12-23,17
246,Whoever Fights Monsters,Robert K. Ressler,06-12-23,26
247,Mercy,Love Belvin,06-12-23,45
248,Kingdom of Darkness Box Set,Mark Goodwin,06-12-23,25
249,Start with Why,Simon Sinek,06-12-23,15
250,Shadow of the Eighth,Justin D. Hill,06-12-23,33
251,Between a Wok and a Dead Place,Leslie Budewitz,06-12-23,17
252,Their Wicked Games,D.K. Hood,06-12-23,20
253,Corrupt Vow,Eva Ashwood,06-12-23,25
254,The Five-Star Weekend,Elin Hilderbrand,06-12-23,36
255,"Sorry I'm Late, I Didn't Want to Come",Jessica Pan,06-12-23,26
256,Not That Duke,Eloisa James,06-12-23,32
257,America's Cultural Revolution,Christopher F. Rufo,06-12-23,32
258,Do What You Love,Kate Volman,06-12-23,7
259,Shallow River,H. D. Carlton,07-05-23,25
260,Heartless Heathens,Santana Knox,07-05-23,25
261,Tracking Justice,L.T. Ryan,07-05-23,20
262,Winter’s Gifts,Ben Aaronovitch,07-05-23,17
263,Savage Skies,Nicholas Sansbury Smith,07-05-23,17
264,Bitcoin is Venice,Allen Farrington,07-05-23,25
265,You Are the One You've Been Waiting For,Richard Schwartz PhD,07-05-23,15
266,The Leap to Leader,Adam Bryant,07-05-23,17
267,The Vampire of Montana,Susan Copperfield,07-05-23,20
268,Anastasia,Sophie Lark,07-05-23,30
269,Old God's Time,Sebastian Barry,07-05-23,26
270,Tremendous,"Joey ""Coco"" Diaz",07-05-23,21
271,Scattered Minds,Gabor Maté MD,07-05-23,32
272,Dragon Heist,Alexander C. Kane,07-05-23,20
273,Implacable,Jack Campbell,07-05-23,28
274,The Art Thief,Michael Finkel,07-05-23,32
275,Bad Summer People,Emma Rosenblum,07-05-23,26
276,Tell Me Everything,Minka Kelly,07-05-23,19
277,Keep It in the Family,John Marrs,07-05-23,30
278,Murder at a London Finishing School,Jessica Ellicott,07-05-23,24
279,The Heart's Invisible Furies,John Boyne,08-22-17,20
280,Once an Eagle,Anton Myrer,08-22-17,30
281,The Shack,William P. Young,08-22-17,15
282,Emotional Agility,Susan David,08-22-17,17
283,The House on Mango Street,Sandra Cisneros,08-22-17,7
284,The Curious Incident of the Dog in the Night-Time,Mark Haddon,08-22-17,20
285,Fierce Conversations,Susan Craig Scott M.D.,08-22-17,28
286,The Art of Racing in the Rain,Garth Stein,08-22-17,21
287,Estrogeneration,Anthony G. Jay,08-22-17,17
288,Setting the Table,Danny Meyer,08-22-17,25
289,Thanks for the Feedback,Sheila Heen,08-22-17,15
290,"Ready, Fire, Aim",Michael Masterson,08-22-17,28
291,"Set for Life, Revised Edition",Scott Trench,08-22-17,17
292,The City of Ember,Jeanne DuPrau,08-22-17,14
293,The Beginning of Infinity,David Deutsch,08-22-17,26
294,Lean In,Sheryl Sandberg,08-22-17,16
295,The Circle Maker,Mark Batterson,08-22-17,24
296,Fae's Enemy,M. Lynn,08-22-17,20
297,American Nations,Colin Woodard,08-22-17,26
298,The History of White People,Nell Irvin Painter,08-22-17,26
299,Reckless,Elsie Silver,06-10-23,20
300,The Simple Path to Wealth,JL Collins,06-10-23,17
301,The Princess of Potential,Delemhach,06-10-23,50
302,The Temporary Wife: Luca and Valentina's Story,Catharina Maura,06-10-23,25
303,The Hitchhiker's Guide to the Galaxy,Douglas Adams,06-10-23,14
304,Wizard,Peter J Lee,06-10-23,25
305,Forbidden Hearts,Corinne Michaels,06-10-23,20
306,The Wager,David Grann,06-10-23,32
307,A Day of Fallen Night,Samantha Shannon,06-10-23,46
308,Flop Dead Gorgeous,David Rosenfelt,06-10-23,19
309,Pageboy,Elliot Page,06-10-23,19
310,Fire and Fate,Serena Valentino,06-10-23,14
311,Yellowface,R. F. Kuang,06-10-23,32
312,Unfu*k Yourself,Gary John Bishop,06-10-23,14
313,Dear Grumpy Boss,Julia Wolf,06-10-23,45
314,Shatter Me,Tahereh Mafi,06-10-23,24
315,Phantom,Greer Rivers,06-10-23,45
316,Around the Way Girl,Taraji P. Henson,06-10-23,13
317,Shoe Dog,Phil Knight,06-10-23,18
318,When She Tempts,Gabrielle Sands,06-10-23,25
