,Title,Author,Release date,Price $
0,Clue Krewe,Jana DeLeon,06-13-23,20
1,Aster Fall,David North,06-13-23,30
2,Shattersoul,Kyle Kirrin,06-13-23,30
3,The Shift,Tinx,06-13-23,17
4,Savannah,SunriseCV,06-13-23,25
5,Special Kind of Twisted,Lani Lynn Vale,06-13-23,20
6,Terms and Conditions,Lauren Asher,06-13-23,21
7,Strength Unleashed: Startup,Ajax Lygan,06-13-23,25
8,The Gift,Sebastian Fitzek,06-13-23,30
9,The Running Grave,Robert Galbraith,06-13-23,57
10,Elon Musk,Walter Isaacson,06-13-23,33
11,The Alien Anomaly,Amanda M. Lee,06-13-23,20
12,Wiedergeburt: Legend of the Reincarnated Warrior: Volume 5,Brandon Varnell,06-13-23,20
13,Waybound,Will Wight,06-13-23,30
14,The Lion: Son of the Forest,Mike Brooks,06-13-23,33
15,The One That Got Away,JD Kirk,06-13-23,25
16,The Ritual,Shantel Tessier,06-13-23,25
17,Under the Stars,Laura Pavlov,06-13-23,20
18,False Truth,Helena Marchmont,06-13-23,5
19,Homeworld Lost,J.N. Chaney,06-13-23,25
