,Title,Author,Release date,Price $
0,How to Talk to Anyone,Leil Lowndes,09-01-15,15
1,The Five-Star Weekend,Elin Hilderbrand,09-01-15,36
2,Dune,Frank Herbert,09-01-15,35
3,The Four Agreements,don Miguel Ruiz,09-01-15,11
4,The Nightingale,Kristin Hannah,09-01-15,26
5,Sapiens,Yuval Noah Harari,09-01-15,16
6,Unfu*k Yourself,Gary John Bishop,09-01-15,14
7,"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,09-01-15,45
8,"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,09-01-15,30
9,The Way of Kings,Brandon Sanderson,09-01-15,27
10,The Last Wish,Andrzej Sapkowski,09-01-15,17
11,A Game of Thrones,George R.R. Martin,09-01-15,37
12,Queen of Shadows,Sarah J. Maas,09-01-15,30
13,Empire of Storms,Sarah J. Maas,09-01-15,35
14,It Ends with Us,Colleen Hoover,09-01-15,13
15,"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,09-01-15,45
16,"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,09-01-15,45
17,"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,09-01-15,45
18,Light Bringer,Pierce Brown,09-01-15,42
19,Queen of Shadows,Sarah J. Maas,09-01-15,30
20,Empire of Storms,Sarah J. Maas,09-01-15,35
21,A Court of Mist and Fury,Sarah J. Maas,09-01-15,37
22,A Court of Wings and Ruin,Sarah J. Maas,09-01-15,27
23,A Court of Frost and Starlight,Sarah J. Maas,09-01-15,18
24,A Court of Thorns and Roses,Sarah J. Maas,09-01-15,27
25,The Hunger Games: Special Edition,Suzanne Collins,09-01-15,15
26,Tower of Dawn,Sarah J. Maas,09-01-15,30
27,The Ballad of Songbirds and Snakes,Suzanne Collins,09-01-15,18
28,A Thousand Boy Kisses,Tillie Cole,09-01-15,24
29,A Good Girl's Guide to Murder,Holly Jackson,09-01-15,23
30,Catching Fire,Suzanne Collins,09-01-15,17
31,Mockingjay,Suzanne Collins,09-01-15,17
32,The Bone Witch,Rin Chupeco,09-01-15,24
33,It’s Not Summer Without You,Jenny Han,09-01-15,15
34,The Summer I Turned Pretty,Jenny Han,09-01-15,21
35,The Hobbit,J. R. R. Tolkien,09-01-15,24
36,Six of Crows,Leigh Bardugo,09-01-15,26
37,The White Tower,Michael Wisehart,09-01-15,26
38,We’ll Always Have Summer,Jenny Han,09-01-15,21
39,Born a Crime,Trevor Noah,11-15-16,22
40,The Art Thief,Michael Finkel,11-15-16,32
41,Tremendous,"Joey ""Coco"" Diaz",11-15-16,21
42,The Creative Act,Rick Rubin,11-15-16,32
43,Unf--k Your Brain,Faith G. Harper PhD LPC-S ACS ACN,11-15-16,17
44,The Swerve,Stephen Greenblatt,11-15-16,25
45,The Artist's Way: 25th Anniversary Edition,Julia Cameron,11-15-16,15
46,"Friends, Lovers, and the Big Terrible Thing",Matthew Perry,11-15-16,20
47,Laurel Canyon,Michael Walker,11-15-16,25
48,Never Broken,Jewel,11-15-16,24
49,Stories I Only Tell My Friends,Rob Lowe,11-15-16,15
50,Wildflower,Drew Barrymore,11-15-16,15
51,"Dolly Parton, Songteller",Dolly Parton,11-15-16,31
52,Art & Fear,David Bayles,11-15-16,14
53,The Medici,Paul Strathern,11-15-16,30
54,Drinking in America,Eric Bogosian,11-15-16,8
55,Elements of Jazz: From Cakewalks to Fusion,Bill Messenger,11-15-16,10
56,Bossypants,Tina Fey,11-15-16,18
57,The Music Lesson,Victor L. Wooten,11-15-16,21
58,Magicians of the Gods,Graham Hancock,11-15-16,26
59,The Art Thief,Michael Finkel,06-27-23,32
60,The Lost City of Z,David Grann,06-27-23,28
61,Death in Yellowstone,Lee H. Whittlesey,06-27-23,30
62,One Man's Wilderness,Sam Keith,06-27-23,21
63,Grandma Gatewood's Walk,Ben Montgomery,06-27-23,20
64,Mother of God,Paul Rosolie,06-27-23,20
65,The Comfort Crisis,Michael Easter,06-27-23,18
66,Undaunted Courage,Stephen E. Ambrose,06-27-23,20
67,Deep Survival,Laurence Gonzales,06-27-23,21
68,The Long Haul,Finn Murphy,06-27-23,21
69,A Walk in the Woods,Bill Bryson,06-27-23,14
70,"Eat, Pray, Love",Elizabeth Gilbert,06-27-23,21
71,The Oregon Trail,Francis Parkman,06-27-23,15
72,"Don't Sleep, There Are Snakes",Daniel L. Everett,06-27-23,28
